area (ha); installation cost ($/ha)
0;0
8.53;99.0913374768089
8.53;109.342165491651
8.53;71.7557961038961
14.39;167.430190909091
14.39;183.375923376623
14.39;121.87095528757
286.16;5525.1963
286.16;6164.16457959184
286.16;4024.01948627087
409.73;7911.36126567718
409.73;8825.96292077922
409.73;5762.10432523191
543.54;10494.5699254174
543.54;11708.723554731
543.54;7643.70075640074
2172.85;55331.6916623377
2172.85;63700.9232460111
2172.85;40453.1842892393
2433.9;61979.9231204082
2433.9;71684.0403077922
2433.9;45059.2230105751
2727.69;69460.749609462
2727.69;80336.8781332097
2727.69;50497.8567628943

