Date (DD/MM/YYYY); Q (m3/s);  P (mm);  PET (mm)
01/01/2010; 91.835; 0; 4.363
02/01/2010; 73.765; 0; 3.879
03/01/2010; 50.46; 0; 3.717
04/01/2010; 42.256; 3.4; 3.826
05/01/2010; 60.85; 20.5; 4.207
06/01/2010; 75.149; 0.7; 4.124
07/01/2010; 100.31; 32.5; 4.07
08/01/2010; 124.15; 0; 3.93
09/01/2010; 128.476; 0; 3.841
10/01/2010; 128.912; 0; 3.81
11/01/2010; 160.968; 1.6; 3.626
12/01/2010; 169.769; 0; 3.939
13/01/2010; 162.89; 1.2; 3.84
14/01/2010; 148.711; 0; 3.698
15/01/2010; 159.055; 0; 3.865
16/01/2010; 165.791; 0; 4.016
17/01/2010; 202.302; 26.8; 4.02
18/01/2010; 221.906; 0; 3.691
19/01/2010; 173.956; 8.8; 3.563
20/01/2010; 153.846; 38.1; 4.3
21/01/2010; 135.527; 0; 4.003
22/01/2010; 113.611; 2; 3.872
23/01/2010; 93.353; 0; 3.908
24/01/2010; 75.845; 0; 3.89
25/01/2010; 58.644; 0; 3.816
26/01/2010; 42.256; 0; 3.581
27/01/2010; 40.636; 4.2; 3.812
28/01/2010; 45.576; 20.7; 3.602
29/01/2010; 82.953; 2.4; 3.762
30/01/2010; 103.868; 3.7; 3.464
31/01/2010; 103.47; 7.1; 3.651
01/02/2010; 100.703; 0; 3.448
02/02/2010; 97.192; 0.2; 3.51
03/02/2010; 90.328; 0; 3.68
04/02/2010; 81.87; 0; 3.107
05/02/2010; 77.949; 11.6; 3.266
06/02/2010; 71.71; 0.6; 3.411
07/02/2010; 82.953; 0; 3.529
08/02/2010; 99.527; 32.8; 3.472
09/02/2010; 109.1; 0; 3.152
10/02/2010; 100.31; 0; 3.2
11/02/2010; 86.607; 0; 3.082
12/02/2010; 75.845; 0; 3.075
13/02/2010; 67.011; 0; 2.97
14/02/2010; 86.607; 0.2; 3.105
15/02/2010; 111.551; 23.2; 3.203
16/02/2010; 141.373; 11.3; 3.005
17/02/2010; 146.401; 5.4; 3.083
18/02/2010; 141.827; 0; 2.929
19/02/2010; 128.04; 0; 3.263
20/02/2010; 108.288; 0; 3.097
21/02/2010; 90.328; 0; 3.215
22/02/2010; 84.407; 16.9; 3.101
23/02/2010; 80.792; 2.6; 2.796
24/02/2010; 114.855; 6.1; 2.948
25/02/2010; 142.281; 0; 3.028
26/02/2010; 147.323; 0; 3.285
27/02/2010; 135.527; 0; 2.495
28/02/2010; 116.94; 0; 2.998
01/03/2010; 100.31; 0; 2.823
02/03/2010; 83.315; 0; 2.989
03/03/2010; 66.351; 0; 2.883
04/03/2010; 56.78; 0; 2.896
05/03/2010; 46.706; 0; 2.895
06/03/2010; 45.576; 0.2; 2.923
07/03/2010; 48.423; 0.4; 2.816
08/03/2010; 50.754; 1.8; 3.022
09/03/2010; 48.423; 3.9; 2.949
10/03/2010; 75.845; 17.4; 3.03
11/03/2010; 121.585; 2.9; 2.62
12/03/2010; 127.171; 1.2; 2.871
13/03/2010; 115.271; 0; 2.631
14/03/2010; 99.527; 1.8; 2.754
15/03/2010; 84.407; 0; 2.979
16/03/2010; 72.393; 0; 2.552
17/03/2010; 62.447; 0; 2.787
18/03/2010; 53.731; 0; 2.636
19/03/2010; 46.14; 0; 2.759
20/03/2010; 55.552; 36.8; 2.823
21/03/2010; 67.342; 0; 2.989
22/03/2010; 73.078; 12.1; 2.574
23/03/2010; 64.061; 0; 2.432
24/03/2010; 52.83; 0.1; 2.605
25/03/2010; 49.874; 1.2; 2.165
26/03/2010; 48.423; 0.4; 2.867
27/03/2010; 61.168; 0.1; 2.502
28/03/2010; 80.077; 3; 2.285
29/03/2010; 96.033; 19.7; 2.631
30/03/2010; 97.192; 0.1; 2.774
31/03/2010; 93.353; 0; 2.357
01/04/2010; 89.205; 0; 2.727
02/04/2010; 81.51; 0; 2.421
03/04/2010; 75.845; 0; 2.597
04/04/2010; 125.441; 2.4; 2.572
05/04/2010; 137.315; 1.6; 2.147
06/04/2010; 139.563; 0.8; 2.029
07/04/2010; 134.637; 0.8; 1.872
08/04/2010; 129.786; 1.3; 2.43
09/04/2010; 120.31; 0; 2.359
10/04/2010; 108.693; 0; 2.018
11/04/2010; 100.31; 0; 2.278
12/04/2010; 85.504; 0; 2.325
13/04/2010; 71.71; 0; 1.589
